name frequency mean_age
marta isabel 1494 38.2
angelica maria 1493 32.1
soumia 1488 28.2
edith 1487 37.6
fadma 1483 54.2
pino 1481 65.9
ana patricia 1479 33.5
maria delia 1478 56
maria enriqueta 1478 58.1
alma maria 1477 31.4
dorina 1477 44.8
maria cristo 1477 44.4
hind 1476 22.3
maria sara 1476 56.1
maria sofia 1474 44.6
vasilica 1470 42.9
maria patrocinio 1465 64.9
eleuteria 1463 72.7
carmen rocio 1461 29.4
touria 1461 39.5
thalia 1459 10.4
natalia maria 1458 28.6
samia 1453 21.5
sara isabel 1451 31.1
aisha 1445 8.8
kristina 1445 27.3
amara 1435 16.8
maria goretti 1434 40
tania maria 1433 28.3
arianna 1428 13.9
houria 1422 38.9
christine 1419 54.8
ruth maria 1417 35.7
gracia maria 1416 37.8
sylvia 1416 46.6
pilar maria 1413 40.9
johanna 1409 30
maria alexandra 1408 26.6
maria arantzazu 1408 46.9
maria flora 1407 59.5
fatoumata 1406 20.8
naoual 1405 29.3
linda 1394 43.4
manal 1392 11.6
halyna 1390 46.8
salima 1389 25.3
ricarda 1388 71.4
greta 1387 13.7
olha 1387 43.2
florina 1384 35.6
layla 1382 23.2
guacimara 1380 30.4
maria cabeza 1379 52.3
maria hortensia 1379 59.3
maria leticia 1378 40.2
larisa 1375 39.2
fabiana 1373 48.6
zahira 1371 16.1
marinela 1370 36.6
griselda 1367 45.9
marciana 1367 71.6
ana mercedes 1366 45.4
dayana 1363 14.4
maria eloisa 1362 53
maria presentacion 1362 65.9
maria puerto 1361 47.9
penelope 1361 29.5
valle 1359 46.9
denise 1358 31.5
luminita 1356 39.5
malen 1354 7.3
hermelinda 1348 64.9
elsa maria 1346 40.2
hanna 1338 33.9
cruz 1337 64
katherine 1334 25
soukaina 1333 18.9
estel 1332 17
heliodora 1332 72.7
maria helena 1330 45
maria vega 1328 52.5
felicita 1327 68.1
seila 1326 28.1
adriana maria 1325 31.7
maria jesusa 1325 63.3
lina maria 1321 36.2
lyudmyla 1319 47.5
susan 1319 53.7
livia 1315 38.1
leandra 1312 64.2
renata 1305 35.2
ghizlane 1303 25
lluisa 1302 62.7
lua 1301 9.8
ana laura 1297 30.6
maria ignacia 1297 62.2
asmaa 1295 23.3
xiana 1294 9.8
ana rocio 1291 30.9
maria olvido 1291 60.9
maria florencia 1290 42.7
marta elena 1289 43.5
sanaa 1288 27.5
bonifacia 1287 74.3
coraima 1287 12.2
dulcenombre 1287 60.9
ana carolina 1284 30.7
maria puy 1283 56
yulia 1279 30
agata 1276 25.4
alberta 1276 67.1
liudmila 1276 49.3
dounia 1275 17.9
adela maria 1274 44
maria nazaret 1274 28.7
assia 1273 27
juana antonia 1272 60.8
xiomara 1269 24.5
gara 1268 14.4
miren josune 1266 46.1
irantzu 1262 28
epifania 1259 67.4
ana delia 1258 45.7
bella 1258 48.3
ana esther 1255 41.2
